RGN,ITM_NM,UNIT_NM,C1_NM,PRD_DE,DT,남,여,인구
강원도,검거건수,건,교통사고 처리특례법,2016,18793.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,교통사고 처리특례법,2017,18179.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,교통사고 처리특례법,2018,18515.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,교통사고 처리특례법,2019,18401.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,교통사고 처리특례법,2020,17196.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,교통사고 처리특례법,2021,14551.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,국가기술자격법,2014,7.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,국가기술자격법,2015,6.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,국가기술자격법,2016,7.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,국가기술자격법,2017,12.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,국가기술자격법,2018,4.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,국가기술자격법,2019,1001.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,국가기술자격법,2020,329.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,국가기술자격법,2021,7.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,국가보안법,2014,2.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,국가보안법,2015,1.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,국가보안법,2016,2.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,국가보안법,2017,6.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,국가보안법,2018,2.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,국가보안법,2019,3.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,국가보안법,2021,2.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,국민체육진흥법,2014,563.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,국민체육진흥법,2015,67.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,국민체육진흥법,2016,59.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,국민체육진흥법,2017,21.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,국민체육진흥법,2018,18.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,국민체육진흥법,2019,22.0,775386.0,766116.0,1541502.0
